day,interval,detid,flow,occ,error,city,speed
2017-11-13,30900,N51381F,1068.0,178.0,1.0,bolton,6.0
2017-11-13,30900,N51381D,240.0,10.0,1.0,bolton,24.0
2017-11-13,30900,N51331Z,0.0,0.0,1.0,bolton,0.0
2017-11-13,30900,N51341X,396.0,16.5,1.0,bolton,24.0
2017-11-13,30900,N51331L,144.0,8.47058823529412,1.0,bolton,17.0
2017-11-13,30900,N51341V,588.0,15.4736842105263,1.0,bolton,38.0
2017-11-13,30900,N51331B,600.0,18.1818181818182,1.0,bolton,33.0
2017-11-13,30900,N51341A,600.0,17.1428571428571,1.0,bolton,35.0
2017-11-13,30900,N51343U,672.0,24.8888888888889,1.0,bolton,27.0
2017-11-13,30900,N51342A,528.0,16.5,1.0,bolton,32.0
2017-11-13,30900,N51351S,528.0,17.6,1.0,bolton,30.0
2017-11-13,30900,N51341W,600.0,18.1818181818182,1.0,bolton,33.0
2017-11-13,30900,N51351N,756.0,27.0,1.0,bolton,28.0
2017-11-13,30900,N51351M,312.0,15.6,1.0,bolton,20.0
2017-11-13,30900,N51351B,720.0,22.5,1.0,bolton,32.0
2017-11-13,30900,N51352P,672.0,21.0,1.0,bolton,32.0
2017-11-13,30900,N51351J,624.0,26.0,1.0,bolton,24.0
2017-11-13,30900,N51352Q,504.0,20.16,1.0,bolton,25.0
2017-11-13,30900,N51391I,516.0,13.9459459459459,1.0,bolton,37.0
2017-11-13,30900,N51361O,1116.0,41.3333333333333,1.0,bolton,27.0
2017-11-13,30900,N51391F,504.0,18.6666666666667,1.0,bolton,27.0
2017-11-13,30900,N51391C,564.0,17.0909090909091,1.0,bolton,33.0
2017-11-13,30900,N51391E,0.0,0.0,1.0,bolton,0.0
2017-11-13,30900,N51271H,120.0,3.15789473684211,1.0,bolton,38.0
2017-11-13,30900,N51271I,0.0,0.0,1.0,bolton,0.0
2017-11-13,30900,N51271J,228.0,7.6,1.0,bolton,30.0
2017-11-13,30900,N53151Z,0.0,0.0,1.0,bolton,0.0
2017-11-13,30900,N53151B,0.0,0.0,1.0,bolton,0.0
2017-11-13,30900,N53231D,84.0,2.54545454545455,1.0,bolton,33.0
2017-11-13,30900,N53241V,0.0,0.0,1.0,bolton,0.0
2017-11-13,30900,N53151A,96.0,2.74285714285714,1.0,bolton,35.0
2017-11-13,30900,N53231G,36.0,12.0,1.0,bolton,3.0
2017-11-13,30900,N53231F,48.0,0.6,1.0,bolton,80.0
2017-11-13,30900,N53241W,240.0,7.27272727272727,1.0,bolton,33.0
2017-11-13,30900,N53251K,228.0,6.16216216216216,1.0,bolton,37.0
2017-11-13,30900,N53241X,48.0,0.6,1.0,bolton,80.0
2017-11-13,30900,N53291A,348.0,11.6,1.0,bolton,30.0
2017-11-13,30900,N53251L,84.0,2.1,1.0,bolton,40.0
2017-11-13,30900,N53291B,0.0,0.0,1.0,bolton,0.0
2017-11-13,30900,N53291C,420.0,13.125,1.0,bolton,32.0
2017-11-13,30900,N53411K,0.0,0.0,1.0,bolton,0.0
2017-11-13,30900,N53411A,0.0,0.0,1.0,bolton,0.0
2017-11-13,30900,N53291Z,0.0,0.0,1.0,bolton,0.0
2017-11-13,30900,N53411M,0.0,0.0,1.0,bolton,0.0
2017-11-13,30900,N53291Y,48.0,1.77777777777778,1.0,bolton,27.0
2017-11-13,30900,N53411P,0.0,0.0,1.0,bolton,0.0
2017-11-13,30900,N53411O,180.0,4.73684210526316,1.0,bolton,38.0
2017-11-13,30900,N53421R,276.0,7.45945945945946,1.0,bolton,37.0
2017-11-13,30900,N53481E,0.0,0.0,1.0,bolton,0.0
2017-11-13,30900,N53421S,0.0,0.0,1.0,bolton,0.0
2017-11-13,30900,N53481G,192.0,5.05263157894737,1.0,bolton,38.0
2017-11-13,30900,N53421U,1044.0,27.4736842105263,1.0,bolton,38.0
2017-11-13,30900,N53261U,480.0,12.972972972973,1.0,bolton,37.0
2017-11-13,30900,N53261V,0.0,0.0,1.0,bolton,0.0
2017-11-13,30900,N53481F,24.0,0.3,1.0,bolton,80.0
2017-11-13,30900,N53261F,804.0,57.4285714285714,1.0,bolton,14.0
2017-11-13,30900,N53261W,960.0,18.8235294117647,1.0,bolton,51.0
2017-11-13,30900,N53261Y,144.0,2.36065573770492,1.0,bolton,61.0
2017-11-13,30900,N53261X,996.0,22.1333333333333,1.0,bolton,45.0
2017-11-13,30900,N53271R,420.0,15.0,1.0,bolton,28.0
2017-11-13,30900,N53271I,288.0,12.0,1.0,bolton,24.0
2017-11-13,30900,N53272A,384.0,11.6363636363636,1.0,bolton,33.0
2017-11-13,30900,N53281G,852.0,25.8181818181818,1.0,bolton,33.0
2017-11-13,30900,N53272E,228.0,8.14285714285714,1.0,bolton,28.0
2017-11-13,30900,N53272D,720.0,18.0,1.0,bolton,40.0
2017-11-13,30900,N53282H,0.0,0.0,1.0,bolton,0.0
2017-11-13,30900,N53272C,684.0,22.8,1.0,bolton,30.0
2017-11-13,30900,N53311D,840.0,30.0,1.0,bolton,28.0
2017-11-13,30900,N53312B,0.0,0.0,1.0,bolton,0.0
2017-11-13,30900,N53312C,636.0,19.875,1.0,bolton,32.0
2017-11-13,30900,N53312S,228.0,8.14285714285714,1.0,bolton,28.0
